movie_id,actor_id,character_played
tt0120338,nm0000138,"[""Jack Dawson""]"
tt0120338,nm0000701,"[""Rose Dewitt Bukater""]"
tt0120338,nm0000708,"[""Cal Hockley""]"
tt0120338,nm0000870,"[""Molly Brown""]"
tt0499549,nm0941777,"[""Jake Sully""]"
tt0499549,nm0757855,"[""Neytiri""]"
tt0499549,nm0000244,"[""Dr. Grace Augustine""]"
tt0499549,nm0735442,"[""Trudy Chacón""]"
tt0407887,nm0000138,"[""Billy""]"
tt0407887,nm0000354,"[""Colin""]"
tt0407887,nm0000197,"[""Costello""]"
tt0407887,nm0000242,"[""Dignam""]"
tt1130884,nm0000138,"[""Teddy Daniels""]"
tt1130884,nm0607865,"[""Rachel 1""]"
tt1130884,nm0749263,"[""Chuck Aule""]"
tt1130884,nm0001426,"[""Dr. Cawley""]"
tt0099685,nm0000134,"[""James Conway""]"
tt0099685,nm0000501,"[""Henry Hill""]"
tt0099685,nm0000582,"[""Tommy DeVito""]"
tt0099685,nm0000966,"[""Karen Hill""]"
tt1302006,nm0000134,"[""Frank Sheeran""]"
tt1302006,nm0000199,"[""Jimmy Hoffa""]"
tt1302006,nm0000582,"[""Russell Bufalino""]"
tt1302006,nm0000172,"[""Angelo Bruno""]"
tt2872718,nm0350453,"[""Louis Bloom""]"
tt2872718,nm0000623,"[""Nina Romina""]"
tt2872718,nm0000200,"[""Joe Loder""]"
tt2872718,nm1981893,"[""Rick""]"
tt0246578,nm0350453,"[""Donnie Darko""]"
tt0246578,nm0540441,"[""Gretchen Ross""]"
tt0246578,nm0001521,"[""Rose Darko""]"
tt0246578,nm0651660,"[""Eddie Darko""]"
tt8772262,nm6073955,"[""Dani""]"
tt8772262,nm2930503,"[""Christian""]"
tt8772262,nm9859585,"[""Pelle""]"
tt8772262,nm2860379,"[""Josh""]"
tt0382932,nm0004951,"[""Gusteau""]"
tt0382932,nm0738918,"[""Linguini""]"
tt0382932,nm0652663,"[""Remy""]"
tt0382932,nm0000453,"[""Skinner""]"
tt0110912,nm0000237,"[""Vincent Vega""]"
tt0110912,nm0000235,"[""Mia Wallace""]"
tt0110912,nm0000168,"[""Jules Winnfield""]"
tt0110912,nm0000246,"[""Butch Coolidge""]"
tt4154796,nm0000375,"[""Tony Stark"",""Iron Man""]"
tt4154796,nm0262635,"[""Steve Rogers"",""Captain America""]"
tt4154796,nm0749263,"[""Bruce Banner"",""Hulk""]"
tt4154796,nm1165110,"[""Thor""]"
tt7131622,nm0000138,"[""Rick Dalton""]"
tt7131622,nm0000093,"[""Cliff Booth""]"
tt7131622,nm3053338,"[""Sharon Tate""]"
tt7131622,nm0386472,"[""Jay Sebring""]"
tt0450259,nm0000138,"[""Danny Archer""]"
tt0450259,nm0005023,"[""Solomon Vandy""]"
tt0450259,nm0000124,"[""Maddy Bowen""]"
tt0450259,nm2218894,"[""Dia Vandy""]"
tt1677720,nm4446467,"[""Parzival"",""Wade""]"
tt1677720,nm4972453,"[""Art3mis"",""Samantha""]"
tt1677720,nm0578853,"[""Sorrento""]"
tt1677720,nm2913119,"[""Aech"",""Helen""]"
tt2015381,nm0695435,"[""Peter Quill""]"
tt2015381,nm0004874,"[""Groot""]"
tt2015381,nm0177896,"[""Rocket""]"
tt2015381,nm0757855,"[""Gamora""]"
tt2704998,nm0000867,"[""Max""]"
tt2704998,nm1046097,"[""Annie""]"
tt2704998,nm0151419,"[""Brooks""]"
tt2704998,nm1279721,"[""Sarah""]"
tt0332280,nm0001687,"[""Allie Calhoun""]"
tt0332280,nm0001258,"[""Duke""]"
tt0332280,nm1046097,"[""Allie""]"
tt0332280,nm0331516,"[""Noah""]"
tt1723121,nm0837177,"[""David Clark""]"
tt1723121,nm0000098,"[""Rose O'Reilly""]"
tt1723121,nm0731075,"[""Casey Mathis""]"
tt1723121,nm1159180,"[""Brad Gurdlinger""]"
tt0133093,nm0000206,"[""Neo""]"
tt0133093,nm0000401,"[""Morpheus""]"
tt0133093,nm0005251,"[""Trinity""]"
tt0133093,nm0915989,"[""Agent Smith""]"
tt2911666,nm0000206,"[""John Wick""]"
tt2911666,nm0638824,"[""Viggo Tarasov""]"
tt2911666,nm0654295,"[""Iosef Tarasov""]"
tt2911666,nm0000353,"[""Marcus""]"
tt0092099,nm0000129,"[""Maverick""]"
tt0092099,nm0000209,"[""Merlin""]"
tt0092099,nm0000534,"[""Charlie""]"
tt0092099,nm0000174,"[""Ice""]"
tt0454921,nm0000226,"[""Chris Gardner""]"
tt0454921,nm0628601,"[""Linda""]"
tt0454921,nm1535523,"[""Christopher""]"
tt0454921,nm0397788,"[""Jay Twistle""]"
